train_condition,n_runs,mean_accuracy_percent,std_accuracy_percent,min_accuracy_percent,median_accuracy_percent,max_accuracy_percent,mean_confidence
mixed_trained_xyz,9,79.81252857796068,4.436345268177152,69.54732510288066,82.09876543209876,83.53909465020575,0.8968541758772877
error_trained_xyz,9,72.56515775034293,7.84798047100558,62.139917695473244,73.25102880658436,81.89300411522635,0.8791595603444557
clean_trained_xyz,9,71.58207590306355,5.017417507676377,61.934156378600825,73.86831275720165,76.33744855967079,0.9157461225986481
