train_condition,run_id,test_set,test_accuracy,test_accuracy_percent,correct_predictions,wrong_predictions,total_samples,box_accuracy_percent,cylinder_accuracy_percent,sphere_accuracy_percent,confusion_matrix_path,prediction_path
error_trained_xyz,7,ycb28,0.8571428571428571,85.71428571428571,480,80,560,88.88888888888889,75.0,90.9090909090909,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_confusion_matrices/error_trained_xyz_run_7_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_results/error_trained_xyz_run_7_ycb28_predictions.csv
error_trained_xyz,8,ycb28,0.8303571428571429,83.03571428571429,465,95,560,82.22222222222221,73.125,90.9090909090909,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_confusion_matrices/error_trained_xyz_run_8_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_results/error_trained_xyz_run_8_ycb28_predictions.csv
error_trained_xyz,9,ycb28,0.8482142857142857,84.82142857142857,475,85,560,86.11111111111111,75.0,90.9090909090909,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_confusion_matrices/error_trained_xyz_run_9_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_results/error_trained_xyz_run_9_ycb28_predictions.csv
mixed_trained_xyz,1,ycb28,0.9125,91.25,511,49,560,95.55555555555556,86.875,90.9090909090909,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_confusion_matrices/mixed_trained_xyz_run_1_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_results/mixed_trained_xyz_run_1_ycb28_predictions.csv
mixed_trained_xyz,2,ycb28,0.9053571428571429,90.53571428571429,507,53,560,90.0,90.625,90.9090909090909,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_confusion_matrices/mixed_trained_xyz_run_2_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_results/mixed_trained_xyz_run_2_ycb28_predictions.csv
mixed_trained_xyz,3,ycb28,0.8767857142857143,87.67857142857143,491,69,560,93.33333333333333,76.875,90.9090909090909,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_confusion_matrices/mixed_trained_xyz_run_3_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_results/mixed_trained_xyz_run_3_ycb28_predictions.csv
mixed_trained_xyz,4,ycb28,0.8571428571428571,85.71428571428571,480,80,560,76.11111111111111,89.375,90.9090909090909,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_confusion_matrices/mixed_trained_xyz_run_4_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_results/mixed_trained_xyz_run_4_ycb28_predictions.csv
mixed_trained_xyz,5,ycb28,0.9071428571428571,90.71428571428571,508,52,560,96.11111111111111,84.375,90.9090909090909,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_confusion_matrices/mixed_trained_xyz_run_5_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_results/mixed_trained_xyz_run_5_ycb28_predictions.csv
mixed_trained_xyz,6,ycb28,0.9035714285714286,90.35714285714286,506,54,560,88.88888888888889,91.25,90.9090909090909,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_confusion_matrices/mixed_trained_xyz_run_6_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_results/mixed_trained_xyz_run_6_ycb28_predictions.csv
mixed_trained_xyz,7,ycb28,0.9,90.0,504,56,560,92.22222222222223,86.25,90.9090909090909,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_confusion_matrices/mixed_trained_xyz_run_7_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_results/mixed_trained_xyz_run_7_ycb28_predictions.csv
mixed_trained_xyz,8,ycb28,0.8714285714285714,87.14285714285714,488,72,560,79.44444444444444,90.625,90.9090909090909,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_confusion_matrices/mixed_trained_xyz_run_8_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_results/mixed_trained_xyz_run_8_ycb28_predictions.csv
mixed_trained_xyz,9,ycb28,0.8928571428571429,89.28571428571429,500,60,560,86.66666666666667,90.0,90.9090909090909,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_confusion_matrices/mixed_trained_xyz_run_9_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final_xyz/ycb28_results/mixed_trained_xyz_run_9_ycb28_predictions.csv
