modelnet_class,true_primitive,n_predictions,accuracy_percent,mean_confidence
glass_box,box,900,97.88888888888889,0.9506598396433724
xbox,box,180,97.77777777777776,0.9300534586111704
wardrobe,box,180,95.0,0.9135186384121576
night_stand,box,774,89.14728682170544,0.9271061191725176
bottle,cylinder,900,76.55555555555556,0.8172937427957853
vase,cylinder,900,74.22222222222223,0.8857710086637073
flower_pot,cylinder,180,66.66666666666666,0.8894082637296783
cup,cylinder,180,61.11111111111112,0.8684289743502934
bowl,sphere,180,0.0,0.9266663716899024
