train_condition,run_id,test_set,test_accuracy,test_accuracy_percent,correct_predictions,wrong_predictions,total_samples,box_accuracy_percent,cylinder_accuracy_percent,sphere_accuracy_percent,confusion_matrix_path,prediction_path
error_trained,9,ycb28,0.6428571428571429,64.28571428571429,360,200,560,14.444444444444443,86.25,89.0909090909091,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_confusion_matrices/error_trained_run_9_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_results/error_trained_run_9_ycb28_predictions.csv
mixed_trained,1,ycb28,0.6892857142857143,68.92857142857143,386,174,560,37.22222222222222,86.875,81.81818181818183,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_confusion_matrices/mixed_trained_run_1_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_results/mixed_trained_run_1_ycb28_predictions.csv
mixed_trained,2,ycb28,0.6339285714285714,63.39285714285714,355,205,560,3.3333333333333335,100.0,85.9090909090909,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_confusion_matrices/mixed_trained_run_2_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_results/mixed_trained_run_2_ycb28_predictions.csv
mixed_trained,3,ycb28,0.6696428571428571,66.96428571428571,375,185,560,33.33333333333333,86.875,80.0,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_confusion_matrices/mixed_trained_run_3_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_results/mixed_trained_run_3_ycb28_predictions.csv
mixed_trained,4,ycb28,0.6982142857142857,69.82142857142857,391,169,560,57.77777777777777,70.625,79.0909090909091,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_confusion_matrices/mixed_trained_run_4_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_results/mixed_trained_run_4_ycb28_predictions.csv
mixed_trained,5,ycb28,0.6517857142857143,65.17857142857143,365,195,560,25.0,87.5,81.81818181818183,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_confusion_matrices/mixed_trained_run_5_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_results/mixed_trained_run_5_ycb28_predictions.csv
mixed_trained,6,ycb28,0.7214285714285714,72.14285714285714,404,156,560,89.44444444444444,43.125,79.0909090909091,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_confusion_matrices/mixed_trained_run_6_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_results/mixed_trained_run_6_ycb28_predictions.csv
mixed_trained,7,ycb28,0.65,65.0,364,196,560,97.77777777777777,5.0,81.81818181818183,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_confusion_matrices/mixed_trained_run_7_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_results/mixed_trained_run_7_ycb28_predictions.csv
mixed_trained,8,ycb28,0.6982142857142857,69.82142857142857,391,169,560,62.77777777777778,66.875,77.72727272727272,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_confusion_matrices/mixed_trained_run_8_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_results/mixed_trained_run_8_ycb28_predictions.csv
mixed_trained,9,ycb28,0.6339285714285714,63.39285714285714,355,205,560,6.111111111111111,98.75,84.54545454545455,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_confusion_matrices/mixed_trained_run_9_ycb28_confusion_matrix.csv,/content/drive/MyDrive/PointNet_APS_Project_V2/results_final/ycb28_results/mixed_trained_run_9_ycb28_predictions.csv
