condition,n,min,q1,median,q3,max,mean,std
clean_trained_xyz,9,80.71428571428572,81.60714285714286,82.67857142857142,84.46428571428571,86.07142857142858,83.05555555555556,1.8970733964861068
error_trained_xyz,9,83.03571428571429,84.82142857142857,86.60714285714286,87.14285714285714,90.35714285714286,86.54761904761905,2.409060279148579
mixed_trained_xyz,9,85.71428571428571,87.67857142857143,90.0,90.53571428571429,91.25,89.18650793650794,1.9026681200505509
