train_condition,true_class_std,mean_class_accuracy_percent,std_class_accuracy_percent,min_class_accuracy_percent,median_class_accuracy_percent,max_class_accuracy_percent,mean_n_samples
clean_trained_xyz,box,87.96296296296298,3.1671539586087194,83.33333333333334,88.33333333333333,92.22222222222223,180.0
clean_trained_xyz,cylinder,66.80555555555556,8.223230981662729,55.00000000000001,68.125,78.75,160.0
clean_trained_xyz,sphere,90.85858585858585,0.1515151515151508,90.45454545454545,90.9090909090909,90.9090909090909,220.0
error_trained_xyz,box,87.46913580246913,5.204988637983406,81.66666666666667,86.11111111111111,97.22222222222221,180.0
error_trained_xyz,cylinder,79.51388888888889,4.76783020472742,73.125,79.375,85.625,160.0
error_trained_xyz,sphere,90.9090909090909,0.0,90.9090909090909,90.9090909090909,90.9090909090909,220.0
mixed_trained_xyz,box,88.70370370370371,6.944444444444444,76.11111111111111,90.0,96.11111111111111,180.0
mixed_trained_xyz,cylinder,87.36111111111111,4.579780820204294,76.875,89.375,91.25,160.0
mixed_trained_xyz,sphere,90.9090909090909,0.0,90.9090909090909,90.9090909090909,90.9090909090909,220.0
