test_set,comparison,group_a,group_b,n_a,n_b,mean_a,mean_b,median_a,median_b,mann_whitney_u,p_value,cliffs_delta_a_minus_b,holm_rank,holm_adjusted_p,significant_0.05
YCB-28 AdamW clean/error/mixed,clean vs mixed,clean,mixed,9,9,83.05555555555556,89.18650793650794,82.67857142857142,90.0,1.0,0.0005736335109885613,-0.9753086419753086,1,0.0017209005329656838,True
YCB-28 AdamW clean/error/mixed,clean vs error,clean,error,9,9,83.05555555555556,86.54761904761905,82.67857142857142,86.60714285714286,9.0,0.006166754221989628,-0.7777777777777778,2,0.012333508443979256,True
YCB-28 AdamW clean/error/mixed,error vs mixed,error,mixed,9,9,86.54761904761905,89.18650793650794,86.60714285714286,90.0,14.0,0.02134631992032859,-0.654320987654321,3,0.02134631992032859,True
